index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp
0,1,42,1,1,1,0,5194599,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
1,2,42,1,1,2,0,5530291,4,832,800,30336,29824,0,0,512,0,0,0,0,0x0000d0a0
2,2,42,4,76,3,0,6938822,4,2400,32,43776,43264,0,0,512,0,0,0,0,0x0000cd70
3,3,42,4,76,4,0,12134490,4,832,32,61952,61440,0,0,512,0,0,0,0,0x0000cd70
4,2,42,8,116,5,0,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,0x0000f810
5,2,42,7,106,6,-5,941452,4,1632,0,0,0,0,0,0,0,0,0,0,0x0000fc70
6,2,42,8,117,5,-4,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,0x0000f810
7,2,42,7,108,6,0,941441,4,1632,0,0,0,0,0,0,0,0,0,0,0x0000fc70
8,1,42,1,2,1,0,5195808,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
9,1,42,1,3,1,0,5193117,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
10,1,42,1,4,1,0,5192830,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
11,1,42,1,5,1,0,5194563,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
12,1,42,1,6,1,0,5193138,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
13,1,42,1,7,1,0,5820559,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
14,1,42,1,8,1,0,5194990,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
15,1,42,1,9,1,0,5192604,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
16,1,42,1,10,1,0,5194133,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
17,1,42,1,11,1,0,5193366,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
18,1,42,1,12,1,0,5193804,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
19,1,42,1,13,1,0,5193329,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
20,1,42,1,14,1,0,5195790,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
21,1,42,1,15,1,0,5194159,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
22,1,42,1,16,1,0,5194835,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
23,1,42,1,17,1,0,5195789,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
24,1,42,1,18,1,0,5193711,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
25,1,42,1,19,1,0,5195020,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
26,1,42,1,20,1,0,5819550,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
27,1,42,1,21,1,0,5194732,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
28,1,42,1,22,1,0,5195322,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
29,1,42,1,23,1,0,5193635,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
30,1,42,1,24,1,0,5821023,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
31,1,42,1,25,1,0,5194693,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000db20
32,2,42,1,2,2,0,5530076,4,832,800,30336,29824,0,0,512,0,0,0,0,0x0000d0a0
33,2,42,1,3,2,0,5530795,4,832,800,30336,29824,0,0,512,0,0,0,0,0x0000d0a0
34,2,42,1,4,2,0,5530145,4,832,800,30336,29824,0,0,512,0,0,0,0,0x0000d0a0
35,2,42,1,5,2,0,5531265,4,832,800,30336,29824,0,0,512,0,0,0,0,0x0000d0a0
36,2,42,1,6,2,0,5529927,4,832,800,30336,29824,0,0,512,0,0,0,0,0x0000d0a0
37,2,42,1,7,2,0,5530391,4,832,800,30336,29824,0,0,512,0,0,0,0,0x0000d0a0
